show,season,source,tmdb_id,kind
Echo,1,Disney+,122226,limited
3 Body Problem,1,Netflix,108545,regular
Fallout,1,Amazon Prime Video,106379,regular
Baby Reindeer,1,Netflix,241259,limited
Star Wars:Tales of the Empire,1,Disney+,251091,limited
X-Men'97,1,Disney+,138502,regular
Sweet Tooth,2,Netflix,103768,regular
Sweet Tooth,3,Netflix,103768,regular
The Acolyte,1,Disney+,114479,limited
Batman: Caped Crusader,1,Amazon Prime Video,125909,regular
The Decameron,1,Netflix,250162,limited
Knuckles,1,SkyShowtime,158300,regular
Futurama Season 12,9,Disney+,615,regular
Terminator Zero,1,Netflix,239287,limited
The Lord of the Rings: The Rings of Power,2,Amazon Prime Video,84773,regular
Agatha All Along,1,Disney+,138501,limited
Uzumaki,1,MAX,93241,limited
The Penguin,1,MAX,194764,limited
BrickToons,1,Disney +,262153,regular
Marvel's Hit-Monkey,2,Disney +,133903,regular
Hot Wheels Let's Race,1,Netflix,235995,regular
Hot Wheels Let's Race,2,Netflix,235995,regular
Astronauta,1,Max,215580,limited
Shatter Belt,1,FILMIN,222028,limited
The Simpsons,35,Disney+,456,regular
La Ultima Noche en Tremore Beach,1,Netflix,242879,limited
Scavengers Reign,1,Max,204154,limited
